run_id,protocol,serializer,compression,zstd_dict,crc_ok,seq_id,payload_size_bytes,wire_size_bytes,ts_created_ns,ts_serialized_ns,ts_compressed_ns,ts_sent_ns,ts_received_ns,ts_decompressed_ns,ts_deserialized_ns,ts_processed_ns,ntp_offset_sender_ns,ntp_offset_receiver_ns,e2e_delay_us,serialization_us,compression_us,transport_us,decompression_us,deserialization_us,processing_us,jitter_us,is_out_of_order,is_duplicate,seq_gap
B1_tcp,tcp,none,none,,1,0,512,584,1785153678982771000,1785153678982776000,1785153678982777000,1785153678982780000,1785153678982846000,1785153678982884000,1785153678982889000,1785153678982889000,121666722,121150534,-450.188,5.000,1.000,3.000,38.000,5.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,1,512,584,1785153678982798000,1785153678982799000,1785153678982799000,1785153678982801000,1785153678982857000,1785153678982903000,1785153678982903000,1785153678982903000,121666722,121150534,-460.188,1.000,0.000,2.000,46.000,0.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,2,512,584,1785153678984023000,1785153678984024000,1785153678984024000,1785153678984026000,1785153678984080000,1785153678984088000,1785153678984089000,1785153678984089000,121666722,121150534,-462.188,1.000,0.000,2.000,8.000,1.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,3,512,584,1785153678984963000,1785153678984964000,1785153678984964000,1785153678984966000,1785153678985038000,1785153678985047000,1785153678985047000,1785153678985047000,121666722,121150534,-444.188,1.000,0.000,2.000,9.000,0.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,4,512,584,1785153678985799000,1785153678985799000,1785153678985800000,1785153678985802000,1785153678985869000,1785153678985886000,1785153678985886000,1785153678985886000,121666722,121150534,-449.188,0.000,1.000,2.000,17.000,0.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,5,512,584,1785153678987016000,1785153678987016000,1785153678987016000,1785153678987018000,1785153678987060000,1785153678987067000,1785153678987067000,1785153678987067000,121666722,121150534,-474.188,0.000,0.000,2.000,7.000,0.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,6,512,584,1785153678987965000,1785153678987966000,1785153678987966000,1785153678987968000,1785153678988017000,1785153678988066000,1785153678988073000,1785153678988074000,121666722,121150534,-467.188,1.000,0.000,2.000,49.000,7.000,1.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,7,512,584,1785153678988974000,1785153678988981000,1785153678988981000,1785153678988983000,1785153678989014000,1785153678989023000,1785153678989023000,1785153678989023000,121666722,121150534,-485.188,7.000,0.000,2.000,9.000,0.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,8,512,584,1785153678989972000,1785153678989973000,1785153678989989000,1785153678989991000,1785153678990026000,1785153678990049000,1785153678990049000,1785153678990049000,121666722,121150534,-481.188,1.000,16.000,2.000,23.000,0.000,0.000,0.000,0,0,0
B1_tcp,tcp,none,none,,1,9,512,584,1785153678990972000,1785153678990973000,1785153678990973000,1785153678990975000,1785153678991038000,1785153678991047000,1785153678991047000,1785153678991047000,121666722,121150534,-453.188,1.000,0.000,2.000,9.000,0.000,0.000,0.000,0,0,0
