run_id,protocol,serializer,compression,zstd_dict,crc_ok,seq_id,payload_size_bytes,wire_size_bytes,ts_created_ns,ts_serialized_ns,ts_compressed_ns,ts_sent_ns,ts_received_ns,ts_decompressed_ns,ts_deserialized_ns,ts_processed_ns,ntp_offset_sender_ns,ntp_offset_receiver_ns,ntp_uncertainty_sender_ns,ntp_uncertainty_receiver_ns,ntp_disabled,e2e_delay_us,ntp_sync_uncertainty_us,serialization_us,compression_us,transport_us,decompression_us,deserialization_us,processing_us,jitter_us,is_out_of_order,is_duplicate,seq_gap
B_common_1,tcp,none,none,,1,0,512,592,1785225244504799000,1785225244504799000,1785225244504800000,1785225244504803000,1785225244504894000,1785225244504925000,1785225244504926000,1785225244504926000,152212780,152082473,5127047,5006921,0,-39.307,10133.968,0.000,1.000,3.000,31.000,1.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,1,512,592,1785225244504840000,1785225244504840000,1785225244504841000,1785225244504843000,1785225244504913000,1785225244504955000,1785225244504956000,1785225244504956000,152212780,152082473,5127047,5006921,0,-60.307,10133.968,0.000,1.000,2.000,42.000,1.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,2,512,592,1785225244506069000,1785225244506072000,1785225244506073000,1785225244506075000,1785225244506211000,1785225244506231000,1785225244506232000,1785225244506232000,152212780,152082473,5127047,5006921,0,5.693,10133.968,3.000,1.000,2.000,20.000,1.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,3,512,592,1785225244506990000,1785225244506994000,1785225244506994000,1785225244506996000,1785225244507118000,1785225244507147000,1785225244507147000,1785225244507147000,152212780,152082473,5127047,5006921,0,-8.307,10133.968,4.000,0.000,2.000,29.000,0.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,4,512,592,1785225244508008000,1785225244508011000,1785225244508012000,1785225244508014000,1785225244508143000,1785225244508169000,1785225244508170000,1785225244508170000,152212780,152082473,5127047,5006921,0,-1.307,10133.968,3.000,1.000,2.000,26.000,1.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,5,512,592,1785225244509056000,1785225244509066000,1785225244509067000,1785225244509103000,1785225244509256000,1785225244509310000,1785225244509313000,1785225244509313000,152212780,152082473,5127047,5006921,0,22.693,10133.968,10.000,1.000,36.000,54.000,3.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,6,512,592,1785225244509916000,1785225244509924000,1785225244509925000,1785225244509954000,1785225244510086000,1785225244510106000,1785225244510106000,1785225244510106000,152212780,152082473,5127047,5006921,0,1.693,10133.968,8.000,1.000,29.000,20.000,0.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,7,512,592,1785225244510863000,1785225244510870000,1785225244510871000,1785225244510883000,1785225244510983000,1785225244511008000,1785225244511008000,1785225244511008000,152212780,152082473,5127047,5006921,0,-30.307,10133.968,7.000,1.000,12.000,25.000,0.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,8,512,592,1785225244511943000,1785225244511949000,1785225244511950000,1785225244511989000,1785225244512066000,1785225244512082000,1785225244512082000,1785225244512082000,152212780,152082473,5127047,5006921,0,-53.307,10133.968,6.000,1.000,39.000,16.000,0.000,0.000,0.000,0,0,0
B_common_1,tcp,none,none,,1,9,512,592,1785225244513103000,1785225244513110000,1785225244513111000,1785225244513117000,1785225244513268000,1785225244513316000,1785225244513325000,1785225244513325000,152212780,152082473,5127047,5006921,0,20.693,10133.968,7.000,1.000,6.000,48.000,9.000,0.000,0.000,0,0,0
