run_id,protocol,serializer,compression,zstd_dict,crc_ok,seq_id,payload_size_bytes,wire_size_bytes,ts_created_ns,ts_serialized_ns,ts_compressed_ns,ts_sent_ns,ts_received_ns,ts_decompressed_ns,ts_deserialized_ns,ts_processed_ns,ntp_offset_sender_ns,ntp_offset_receiver_ns,ntp_uncertainty_sender_ns,ntp_uncertainty_receiver_ns,ntp_disabled,e2e_delay_us,ntp_sync_uncertainty_us,serialization_us,compression_us,transport_us,decompression_us,deserialization_us,processing_us,jitter_us,is_out_of_order,is_duplicate,seq_gap
B_common_3,tcp,none,none,,1,0,512,592,1785225461058568000,1785225461058570000,1785225461058572000,1785225461058579000,1785225461058963000,1785225461059069000,1785225461059071000,1785225461059071000,153594837,153186757,12181659,13992299,0,-24.080,26173.958,2.000,2.000,7.000,106.000,2.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,1,512,592,1785225461058655000,1785225461058656000,1785225461058656000,1785225461058663000,1785225461059042000,1785225461059147000,1785225461059147000,1785225461059148000,153594837,153186757,12181659,13992299,0,-29.080,26173.958,1.000,0.000,7.000,105.000,0.000,1.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,2,512,592,1785225461059863000,1785225461059873000,1785225461059874000,1785225461059880000,1785225461060138000,1785225461060173000,1785225461060186000,1785225461060186000,153594837,153186757,12181659,13992299,0,-150.080,26173.958,10.000,1.000,6.000,35.000,13.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,3,512,592,1785225461060812000,1785225461060848000,1785225461060849000,1785225461060853000,1785225461060989000,1785225461061022000,1785225461061022000,1785225461061023000,153594837,153186757,12181659,13992299,0,-272.080,26173.958,36.000,1.000,4.000,33.000,0.000,1.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,4,512,592,1785225461061775000,1785225461061782000,1785225461061782000,1785225461061786000,1785225461061927000,1785225461061956000,1785225461061957000,1785225461061957000,153594837,153186757,12181659,13992299,0,-267.080,26173.958,7.000,0.000,4.000,29.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,5,512,592,1785225461062890000,1785225461062899000,1785225461062901000,1785225461062937000,1785225461063133000,1785225461063166000,1785225461063167000,1785225461063167000,153594837,153186757,12181659,13992299,0,-212.080,26173.958,9.000,2.000,36.000,33.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,6,512,592,1785225461063757000,1785225461063763000,1785225461063764000,1785225461063768000,1785225461063976000,1785225461064012000,1785225461064013000,1785225461064013000,153594837,153186757,12181659,13992299,0,-200.080,26173.958,6.000,1.000,4.000,36.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,7,512,592,1785225461064906000,1785225461064918000,1785225461064919000,1785225461064924000,1785225461065173000,1785225461065220000,1785225461065221000,1785225461065221000,153594837,153186757,12181659,13992299,0,-159.080,26173.958,12.000,1.000,5.000,47.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,8,512,592,1785225461065864000,1785225461065881000,1785225461065882000,1785225461065886000,1785225461066090000,1785225461066146000,1785225461066147000,1785225461066148000,153594837,153186757,12181659,13992299,0,-204.080,26173.958,17.000,1.000,4.000,56.000,1.000,1.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,9,512,592,1785225461066682000,1785225461066692000,1785225461066694000,1785225461066699000,1785225461066994000,1785225461067046000,1785225461067047000,1785225461067047000,153594837,153186757,12181659,13992299,0,-113.080,26173.958,10.000,2.000,5.000,52.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,10,512,592,1785225461067724000,1785225461067733000,1785225461067734000,1785225461067738000,1785225461067940000,1785225461067988000,1785225461067989000,1785225461067989000,153594837,153186757,12181659,13992299,0,-206.080,26173.958,9.000,1.000,4.000,48.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,11,512,592,1785225461068803000,1785225461068845000,1785225461068846000,1785225461068850000,1785225461069007000,1785225461069072000,1785225461069073000,1785225461069073000,153594837,153186757,12181659,13992299,0,-251.080,26173.958,42.000,1.000,4.000,65.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,12,512,592,1785225461069771000,1785225461069788000,1785225461069789000,1785225461069793000,1785225461069998000,1785225461070044000,1785225461070045000,1785225461070045000,153594837,153186757,12181659,13992299,0,-203.080,26173.958,17.000,1.000,4.000,46.000,1.000,0.000,0.000,0,0,0
B_common_3,tcp,none,none,,1,13,512,592,1785225461070786000,1785225461070791000,1785225461070791000,1785225461070795000,1785225461071058000,1785225461071121000,1785225461071122000,1785225461071122000,153594837,153186757,12181659,13992299,0,-145.080,26173.958,5.000,0.000,4.000,63.000,1.000,0.000,0.000,0,0,0
