run_id,protocol,serializer,compression,zstd_dict,crc_ok,seq_id,payload_size_bytes,wire_size_bytes,ts_created_ns,ts_serialized_ns,ts_compressed_ns,ts_sent_ns,ts_received_ns,ts_decompressed_ns,ts_deserialized_ns,ts_processed_ns,ntp_offset_sender_ns,ntp_offset_receiver_ns,ntp_uncertainty_sender_ns,ntp_uncertainty_receiver_ns,ntp_disabled,e2e_delay_us,ntp_sync_uncertainty_us,serialization_us,compression_us,transport_us,decompression_us,deserialization_us,processing_us,jitter_us,is_out_of_order,is_duplicate,seq_gap
default_flag,tcp,none,none,,1,0,512,592,1785224413023622000,1785224413023623000,1785224413023623000,1785224413023625000,1785224413023683000,1785224413023703000,1785224413023704000,1785224413023704000,32518073,32533963,5338017,6419451,0,73.890,11757.468,1.000,0.000,2.000,20.000,1.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,1,512,592,1785224413023641000,1785224413023642000,1785224413023642000,1785224413023643000,1785224413023693000,1785224413023727000,1785224413023727000,1785224413023727000,32518073,32533963,5338017,6419451,0,65.890,11757.468,1.000,0.000,1.000,34.000,0.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,2,512,592,1785224413024883000,1785224413024885000,1785224413024885000,1785224413024887000,1785224413024975000,1785224413024987000,1785224413024987000,1785224413024987000,32518073,32533963,5338017,6419451,0,103.890,11757.468,2.000,0.000,2.000,12.000,0.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,3,512,592,1785224413025815000,1785224413025817000,1785224413025818000,1785224413025819000,1785224413025893000,1785224413025941000,1785224413025941000,1785224413025942000,32518073,32533963,5338017,6419451,0,89.890,11757.468,2.000,1.000,1.000,48.000,0.000,1.000,0.000,0,0,0
default_flag,tcp,none,none,,1,4,512,592,1785224413026832000,1785224413026834000,1785224413026835000,1785224413026836000,1785224413026915000,1785224413026923000,1785224413026923000,1785224413026923000,32518073,32533963,5338017,6419451,0,94.890,11757.468,2.000,1.000,1.000,8.000,0.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,5,512,592,1785224413027838000,1785224413027846000,1785224413027846000,1785224413027847000,1785224413027893000,1785224413027902000,1785224413027902000,1785224413027902000,32518073,32533963,5338017,6419451,0,61.890,11757.468,8.000,0.000,1.000,9.000,0.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,6,512,592,1785224413028831000,1785224413028834000,1785224413028834000,1785224413028835000,1785224413028975000,1785224413028986000,1785224413028987000,1785224413028987000,32518073,32533963,5338017,6419451,0,155.890,11757.468,3.000,0.000,1.000,11.000,1.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,7,512,592,1785224413029730000,1785224413029732000,1785224413029732000,1785224413029734000,1785224413029779000,1785224413029794000,1785224413029794000,1785224413029794000,32518073,32533963,5338017,6419451,0,60.890,11757.468,2.000,0.000,2.000,15.000,0.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,8,512,592,1785224413030904000,1785224413030918000,1785224413030919000,1785224413030921000,1785224413031003000,1785224413031017000,1785224413031018000,1785224413031018000,32518073,32533963,5338017,6419451,0,97.890,11757.468,14.000,1.000,2.000,14.000,1.000,0.000,0.000,0,0,0
default_flag,tcp,none,none,,1,9,512,592,1785224413031803000,1785224413031805000,1785224413031805000,1785224413031806000,1785224413031903000,1785224413031921000,1785224413031921000,1785224413031921000,32518073,32533963,5338017,6419451,0,112.890,11757.468,2.000,0.000,1.000,18.000,0.000,0.000,0.000,0,0,0
