run_id,protocol,serializer,compression,zstd_dict,crc_ok,seq_id,payload_size_bytes,wire_size_bytes,ts_created_ns,ts_serialized_ns,ts_compressed_ns,ts_sent_ns,ts_received_ns,ts_decompressed_ns,ts_deserialized_ns,ts_processed_ns,ntp_offset_sender_ns,ntp_offset_receiver_ns,ntp_uncertainty_sender_ns,ntp_uncertainty_receiver_ns,ntp_disabled,e2e_delay_us,ntp_sync_uncertainty_us,serialization_us,compression_us,transport_us,decompression_us,deserialization_us,processing_us,jitter_us,is_out_of_order,is_duplicate,seq_gap
C_fixed_1,tcp,none,none,,1,0,512,592,1785224145896986000,1785224145896986000,1785224145896987000,1785224145896989000,1785224145897081000,1785224145897108000,1785224145897109000,1785224145897109000,0,36276890,0,5534501,1,92.000,0.000,0.000,1.000,2.000,27.000,1.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,1,512,592,1785224145897006000,1785224145897006000,1785224145897006000,1785224145897008000,1785224145897096000,1785224145897136000,1785224145897137000,1785224145897137000,0,36276890,0,5534501,1,88.000,0.000,0.000,0.000,2.000,40.000,1.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,2,512,592,1785224145898404000,1785224145898412000,1785224145898413000,1785224145898415000,1785224145898618000,1785224145898654000,1785224145898654000,1785224145898654000,0,36276890,0,5534501,1,203.000,0.000,8.000,1.000,2.000,36.000,0.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,3,512,592,1785224145899027000,1785224145899032000,1785224145899033000,1785224145899036000,1785224145899160000,1785224145899187000,1785224145899202000,1785224145899203000,0,36276890,0,5534501,1,124.000,0.000,5.000,1.000,3.000,27.000,15.000,1.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,4,512,592,1785224145900325000,1785224145900343000,1785224145900344000,1785224145900347000,1785224145900497000,1785224145900523000,1785224145900524000,1785224145900524000,0,36276890,0,5534501,1,150.000,0.000,18.000,1.000,3.000,26.000,1.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,5,512,592,1785224145901254000,1785224145901264000,1785224145901265000,1785224145901295000,1785224145901398000,1785224145901446000,1785224145901447000,1785224145901447000,0,36276890,0,5534501,1,103.000,0.000,10.000,1.000,30.000,48.000,1.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,6,512,592,1785224145902244000,1785224145902282000,1785224145902283000,1785224145902285000,1785224145902396000,1785224145902423000,1785224145902423000,1785224145902423000,0,36276890,0,5534501,1,111.000,0.000,38.000,1.000,2.000,27.000,0.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,7,512,592,1785224145903215000,1785224145903240000,1785224145903240000,1785224145903242000,1785224145903368000,1785224145903391000,1785224145903392000,1785224145903392000,0,36276890,0,5534501,1,126.000,0.000,25.000,0.000,2.000,23.000,1.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,8,512,592,1785224145904219000,1785224145904224000,1785224145904224000,1785224145904227000,1785224145904329000,1785224145904377000,1785224145904377000,1785224145904377000,0,36276890,0,5534501,1,102.000,0.000,5.000,0.000,3.000,48.000,0.000,0.000,0.000,0,0,0
C_fixed_1,tcp,none,none,,1,9,512,592,1785224145905226000,1785224145905230000,1785224145905230000,1785224145905233000,1785224145905363000,1785224145905400000,1785224145905401000,1785224145905401000,0,36276890,0,5534501,1,130.000,0.000,4.000,0.000,3.000,37.000,1.000,0.000,0.000,0,0,0
